sn,sn_model,sn_settime,sn_address,longitude,latitude,areano,areaName,area_sign,place_sign,sn_status,sn_statusStr,ele_time,elep_time,wifi,sn_agent,remark,is_use_able,is_use_able_str
W-AED643372f4dd367fdd39b62391,AED7000,10/1/2021 00:00,北京市市辖区丰台区5号线（北京地铁）刘家窑站,116.4220781,39.8568345,4,丰台区,机场、火车站、城市轨道交通站、交通枢纽、长途客运站,1,2,故障,7/14/2026 00:00,7/14/2023 00:00,未知,麦邦,交通委.地铁公司,2,不可用
W-AED643372f4dd367fdd39b62392,AED7000,10/1/2021 00:00,北京市市辖区东城区5号线（北京地铁）蒲黄榆站,116.4216369,39.86565635,1,东城区,机场、火车站、城市轨道交通站、交通枢纽、长途客运站,1,2,故障,7/14/2026 00:00,7/14/2023 00:00,未知,麦邦,交通委.地铁公司,2,不可用
W-AED643372f4dd367fdd39b62393,AED7000,10/1/2021 00:00,北京市市辖区东城区5号线（北京地铁）天坛东门站,116.4207857,39.88256609,1,东城区,机场、火车站、城市轨道交通站、交通枢纽、长途客运站,1,2,故障,7/14/2026 00:00,7/14/2023 00:00,未知,麦邦,交通委.地铁公司,2,不可用
W-AED643372f4dd367fdd39b62394,AED7000,10/1/2021 00:00,北京市市辖区东城区5号线（北京地铁）磁器口站,116.418819,39.89306456,1,东城区,机场、火车站、城市轨道交通站、交通枢纽、长途客运站,1,2,故障,7/14/2026 00:00,7/14/2023 00:00,未知,麦邦,交通委.地铁公司,2,不可用
W-AED643372f4dd367fdd39b62395,AED7000,10/1/2021 00:00,北京市市辖区东城区5号线（北京地铁）崇文门站,116.4186499,39.90041958,1,东城区,机场、火车站、城市轨道交通站、交通枢纽、长途客运站,1,2,故障,7/14/2026 00:00,7/14/2023 00:00,未知,麦邦,交通委.地铁公司,2,不可用
W-AED643372f4dd367fdd39b62396,AED7000,10/1/2021 00:00,北京市市辖区东城区5号线（北京地铁）东单站,116.4184589,39.90838651,1,东城区,机场、火车站、城市轨道交通站、交通枢纽、长途客运站,1,2,故障,7/14/2026 00:00,7/14/2023 00:00,未知,麦邦,交通委.地铁公司,2,不可用
W-AED643372f4dd367fdd39b62397,AED7000,10/1/2021 00:00,北京市市辖区东城区5号线（北京地铁）灯市口站,116.4178636,39.91713334,1,东城区,机场、火车站、城市轨道交通站、交通枢纽、长途客运站,1,2,故障,7/14/2026 00:00,7/14/2023 00:00,未知,麦邦,交通委.地铁公司,2,不可用
W-AED643372f4dd367fdd39b62398,AED7000,10/1/2021 00:00,北京市市辖区东城区5号线（北京地铁）东四站,116.4174714,39.92395418,1,东城区,机场、火车站、城市轨道交通站、交通枢纽、长途客运站,1,2,故障,7/14/2026 00:00,7/14/2023 00:00,未知,麦邦,交通委.地铁公司,2,不可用
W-AED643372f4dd367fdd39b62399,AED7000,10/1/2021 00:00,北京市市辖区东城区5号线（北京地铁）张自忠路站,116.4174525,39.93343017,1,东城区,机场、火车站、城市轨道交通站、交通枢纽、长途客运站,1,2,故障,7/14/2026 00:00,7/14/2023 00:00,未知,麦邦,交通委.地铁公司,2,不可用
W-AED643372f4dd367fdd39b6239a,AED7000,10/1/2021 00:00,北京市市辖区东城区5号线（北京地铁）北新桥站,116.4169693,39.94074405,1,东城区,机场、火车站、城市轨道交通站、交通枢纽、长途客运站,1,2,故障,7/14/2026 00:00,7/14/2023 00:00,未知,麦邦,交通委.地铁公司,2,不可用
